name,platforms,genre,release_date
Forever Ago,PC,Adventure,2025
Project Haven,PC,Strategy,2025
Sonzai,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Brutal Fate,PC,Action,2025
4 Minutes to the Apocalypse,"PC, PlayStation, Xbox",Action,2025
Dissident: Frostland Escape,PC,Simulation,2025
ARK II,"PC, Xbox",Action,2025
HeatWave,"PC, Nintendo",RPG,2025
Falling Frontier,PC,Strategy,2025
The Wayward Realms,PC,RPG,December 2025
Instinction,"PC, PlayStation, Xbox",Action,2025
Militsioner,PC,Adventure,2025
Vokabulantis,PC,Adventure,2025
Arctic Awakening,PC,Adventure,2025
Racing Master,Mobile,Racing,2025
Alliance of the Sacred Suns,PC,Strategy,2025
Nivalis,PC,Simulation,2025
Pioner,PC,Action,2025
The Outer Worlds 2,"PC, PlayStation, Xbox",RPG,2025
Echoes of the End,"PC, PlayStation, Xbox",Action,2025
SacriFire,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Honeycomb: The World Beyond,"PC, PlayStation, Xbox",Simulation,2025
Kajko and Kokosh: For Slices,"PC, PlayStation, Xbox, Mobile",RPG,2025
ExeKiller,PC,Action,2025
Titan Quest 2,"PC, PlayStation, Xbox",RPG,2025
Fragile Existence,PC,Strategy,2025
Bulb Boy: Jar of Despair,PC,Adventure,2025
The Lost Wild,PC,Action,2025
Neo Berlin 2087,"PC, PlayStation, Xbox",RPG,2025
Honor of Kings: World,PC,RPG,2025
The Ranchers,PC,RPG,2025
ARC Raiders,"PC, PlayStation, Xbox",Action,2025
Showa American Story,"PC, PlayStation",RPG,Q4 2025
Songs of Glimmerwick,PC,RPG,2025
Mina the Hollower,"PC, PlayStation, Xbox",Action,2025
Lost Twins 2,"PC, Mobile",Adventure,2025
ILL,PC,Action,2025
Complex Sky,PC,Strategy,2025
SOPA: Tale of the Stolen Potato,"PC, Xbox",Adventure,2025
The Way of Wrath,PC,RPG,2025
Road to Vostok,PC,Action,2025
Tom Clancy's Rainbow Six Mobile,Mobile,Action,2025
Nazralath: The Fallen World,PC,RPG,2025
Farathan,PC,RPG,2025
Vampire: The Masquerade - Heartless Symphony,PC,RPG,2025
Phonopolis,PC,Adventure,2025
Among the Trolls,PC,Adventure,2025
Simon the Sorcerer Origins,"PC, PlayStation, Xbox, Nintendo",Adventure,2025
Barkhan,PC,Strategy,2025
Skate Story,"PC, PlayStation",Action,2025
The Alters,"PC, PlayStation, Xbox",Simulation,2025
Terminator: Survivors,"PC, PlayStation, Xbox",Action,2025
Tom Clancy's The Division: Resurgence,Mobile,Action,2025
Bounty Star,"PC, PlayStation, Xbox",Action,2025
Etheria: Restart,"PC, Mobile",RPG,2025
Selenwald,PC,RPG,2025
Phantom Hellcat,"PC, PlayStation, Xbox",Action,2025
Stick It to the Stickman,PC,Action,2025
Second Stone: The Legend of the Hidden World,PC,RPG,2025
Hibernaculum,PC,RPG,2025
Foolish Mortals,PC,Adventure,2025
Blight: Survival,PC,Action,2025
ArcheAge Chronicles,"PC, PlayStation, Xbox",RPG,2025
OPUS: Prism Peak,PC,Adventure,2025
Project Motor Racing,"PC, PlayStation, Xbox",Racing,2025
Professor Layton and the New World of Steam,Nintendo,Adventure,2025
Echoes of the Living,PC,Action,2025
Hail to the Rainbow,"PC, PlayStation",Adventure,2025
Anvil Empires,PC,Strategy,2025
Outbreak Island,PC,Action,2025
Unrecord,PC,Action,2025
Mouse: P.I. for Hire,"PC, PlayStation, Xbox, Nintendo",Action,2025
Scarlet Deer Inn,"PC, Xbox, Nintendo",Adventure,2025
Breeze in the Clouds,PC,Action,2025
Sword of the Sea,"PC, PlayStation",Adventure,2025
Dynasty of the Sands,PC,Strategy,2025
"Yes, Your Grace: Snowfall","PC, Xbox, Nintendo",Strategy,2025
Baby Steps,"PC, PlayStation",Adventure,2025
Resistor,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Breathedge 2,PC,Adventure,2025
Nova Roma,PC,Strategy,2025
Crossroads Inn 2,PC,Strategy,2025
John Carpenter's Toxic Commando,"PC, PlayStation, Xbox",Action,2025
Surviving Deponia,"PC, PlayStation, Xbox",Adventure,2025
We Kill Monsters,PC,RPG,2025
Ratatan,"PC, PlayStation, Xbox, Nintendo",Strategy,2025
Daba: Land of Water Scar,PlayStation,RPG,2025
Teenage Mutant Ninja Turtles: The Last Ronin,"PC, PlayStation, Xbox",RPG,2025
Killing Floor III,"PC, PlayStation, Xbox",Action,2025
Streets of Rogue 2,PC,Action,2025
Grime II,PC,Action,2025
Little Nightmares III,"PC, PlayStation, Xbox, Nintendo",Arcade,2025
Broken Sword: Parzival's Stone,PC,Adventure,2025
Hexxen: Hunters,PC,RPG,2025
Tormented Souls 2,"PC, PlayStation, Xbox",Action,2025
Deep Rock Galactic: Rogue Core,PC,Action,2025
The Adventures of Bryan Scott,PC,Adventure,2025
Babylon X,PC,RPG,2025
Gloomy Eyes,PC,Adventure,2025
Fumes,PC,Action,2025
Rise of Piracy,PC,Strategy,2025
Starminer,PC,Strategy,2025
Cooking Simulator 2: Better Together,PC,Simulation,H2 2025
Quantic River,PC,Action,2025
Spine,"PC, PlayStation, Xbox",Action,2025
Farmer's Dynasty 2,PC,Simulation,2025
Last Sentinel,PC,Action,2025
Den of Wolves,PC,Action,2025
Kemuri,PC,Action,2025
Under a Rock,"PC, PlayStation, Xbox",Adventure,2025
Vampires: Bloodlord Rising,PC,RPG,2025
Big Walk,PC,Adventure,2025
Metropolis 1998,PC,Strategy,Q4 2025
Tank Squad,PC,Action,2025
The Bustling World,PC,RPG,2025
Exoborne,"PC, PlayStation, Xbox",Action,2025
Jurassic Park: Survival,"PC, PlayStation, Xbox",Action,2025
B-17 Flying Fortress: The Bloody 100th,PC,Simulation,2025
Outerra World Sandbox,PC,Simulation,2025
Digested,PC,Adventure,2025
Mars Tactics,PC,Strategy,2025
Sunkissed City,PC,RPG,2025
Out of Action,PC,Action,2025
Neyyah,PC,Adventure,2025
Capital Command,PC,Simulation,2025
Agent 64: Spies Never Die,PC,Action,2025
Across the Wonderlands,PC,Action,2025
Zombie Army VR,"PC, PlayStation",Action,2025
Pokemon Legends: Z-A,Nintendo,RPG,Q4 2025
Endurance Motorsport Series,"PC, PlayStation, Xbox",Racing,2025
The Sinking City 2,"PC, PlayStation, Xbox",Adventure,2025
Marvel 1943: Rise of Hydra,PC,Action,2025
Industria 2,PC,Action,2025
Slay the Spire 2,PC,RPG,2025
SWAT Commander,PC,Action,2025
Vivaland,PC,Simulation,2025
Forza Horizon 6,"PC, Xbox",Racing,Q4 2025
Eriksholm: The Stolen Dream,"PC, PlayStation, Xbox",Action,2025
Mixtape,"PC, PlayStation, Xbox",Adventure,2025
Dragon Quest I & II HD-2D Remake,"PC, PlayStation, Xbox, Nintendo",RPG,2025
PVKK,PC,Simulation,2025
Volt Recharge,PC,Racing,2025
Solarpunk,PC,Adventure,2025
Neverness to Everness,"PC, PlayStation, Mobile",RPG,2025
Echo of Prypiat,PC,Adventure,2025
Telegraphist 1920: Beats of War,PC,Arcade,2025
Whiskerwood,PC,Strategy,2025
Espiocracy,PC,Strategy,2025
Full Fathom,PC,Action,2025
God Save Birmingham,PC,Action,2025
Beyond These Stars,PC,Strategy,2025
Copa City,PC,Strategy,2025
Junxions,PC,Strategy,2025
Empire Eternal,PC,Strategy,2025
Ghost of Yotei,PlayStation,Action,2025
Pathologic 3,"PC, PlayStation, Xbox",RPG,2025
Subnautica 2,"PC, Xbox",Adventure,2025
Liegecraft,PC,Strategy,2025
Age of Respair,PC,Strategy,2025
Rogue Point,PC,Action,2025
Beyond Astra,PC,Strategy,2025
Master of Command: Seven Years' War,PC,Strategy,2025
Dante's Ring,PC,Adventure,2025
Renown,PC,Action,2025
Half Sword,PC,Fighting,2025
Global Conflagration,PC,Strategy,2025
Moonlighter 2: The Endless Vault,"PC, PlayStation, Xbox",RPG,2025
SpaceCraft,PC,Simulation,2025
Total Chaos,PC,Action,2025
Vikings Dynasty,PC,RPG,2025
Shadow Labyrinth,"PC, PlayStation, Xbox, Nintendo",Action,2025
Solasta II,PC,RPG,2025
Project Citadel,PC,Strategy,2025
The Elder Scrolls: Skyblivion,PC,RPG,2025
Project Thea,PC,Strategy,2025
Death Howl,PC,RPG,Q4 2025
All Will Fall,PC,Strategy,2025
Endless Legend 2,PC,Strategy,2025
Assassin's Creed: Shadows - Claws of Awaji,"PC, PlayStation, Xbox",RPG,2025
Strategos,PC,Strategy,2025
Contraband Police: Crimson Fall,PC,Simulation,Q4 2025
The Directorate: Novitiate,PC,RPG,2025
Town to City,PC,Strategy,2025
Splitgate 2,"PC, PlayStation, Xbox",Action,2025
Shadow Project,PC,Action,2025
Monster Train 2,"PC, PlayStation, Xbox, Nintendo",Strategy,2025
Machine Mind,PC,Action,2025
Anoxia Station,PC,Strategy,2025
RailGods of Hysterra,PC,Action,2025
Call of Duty 2025,"PC, PlayStation, Xbox",Action,2025
Rockbeasts,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Gothic II: Golden Gate 2 - Goddess Heart,PC,RPG,2025
Crusader Kings III: All Under Heaven,PC,Strategy,2025
PowerWash Simulator 2,"PC, PlayStation, Xbox",Simulation,2025
Beneath,PC,Action,2025
Lost Rift,PC,Action,2025
The Remake of the End of the Greatest RPG of All Time,PC,RPG,2025
Odin: Valhalla Rising,"PC, Mobile",RPG,2025
OddFauna: Secret of the Terrabeast,PC,Adventure,2026
Roman Sands RE:Build,"PC, Xbox, Nintendo",Adventure,2026
The Gecko Gods,"PC, PlayStation, Nintendo",Arcade,2026
Titanic: Honor and Glory,"PC, PlayStation, Xbox",Adventure,2026
Nighthawks,PC,RPG,2026
Proxi,PC,Simulation,2026
Deadhaus Sonata,PC,RPG,2026
Convallaria,PlayStation,Action,2026
Dungeon & Fighter: Overkill,PC,RPG,2026
Gaucho and the Grassland,PC,Adventure,2026
Setting Sun,PC,Action,2026
The Time I Have Left,PC,Adventure,2026
Celestial Empire,PC,Strategy,2026
War Mechanic,PC,Simulation,2026
Kingdom Come: Deliverance 2 - Mysteria Ecclesiae,"PC, PlayStation, Xbox",RPG,Q1 2026
My Work Is Not Yet Done,PC,Adventure,2026
Cowboy Life Simulator,PC,Simulation,2026
Nanzou: The Divine Court,PC,Strategy,2026
Rose and Locket,PC,Action,2026
VergeWorld,PC,Action,2026
Bloody Hell Hotel,PC,Simulation,2026
Viking City Builder,PC,Strategy,2026
Let's Build a Dungeon,"PC, Xbox",Strategy,2026
Spleen,PC,RPG,2026
Vigilancer 2099,PC,Action,2026
Into the Dead 3,Mobile,Action,2026
Might of Merchants,PC,Strategy,2026
Ecumene Aztec,PC,Action,2026
Jurassic World Evolution 3,PC,Strategy,2026
Destiny: Rising,Mobile,Action,2026
Super Zoo Story,"PC, PlayStation, Xbox, Nintendo",RPG,2026
Shadowman: Darque Legacy,"PC, PlayStation, Xbox",Action,2026
Invariant,PC,Action,2026
over the hill,PC,Simulation,2026
Savior,PC,Action,2026
Heavydelic,PC,Adventure,2026
Ancient Arenas: Chariots,PC,Strategy,2026
Abyssals,PC,Strategy,2026
Tales from the Mabinogion,PC,Adventure,2026
Defect,PC,Action,2026
Dust Front RTS,PC,Strategy,2026
Deepest Fear,PC,Action,2026
Band of Crusaders,PC,RPG,2026
TerraStorm,PC,Strategy,2026
Forge of the Fae,PC,RPG,2026
The Scouring,PC,Strategy,2026
Low-Budget Repairs,PC,Simulation,2026
Mercyful Flames: The Witches,"PC, Nintendo",RPG,2026
Don't Kill Them All,PC,Strategy,2026
Trust,PC,Action,2026
Twin Soul,PC,Adventure,2026
Hazelnut Bastille,"PC, Nintendo",Action,2026
Forgery Craft,PC,Adventure,2026
Moonlight Peaks,PC,RPG,2026
Pirofauna,PC,Adventure,2026
Norse,"PC, PlayStation, Xbox",Strategy,2026
Black State,PC,Action,2026
Kyoryu,PC,Action,2026
My Time at Evershine,"PC, PlayStation, Xbox",RPG,2026
Kathy Rain 2: Soothsayer,PC,Adventure,2026
TOEM 2,PC,Adventure,2026
Polish Simulator,PC,Simulation,2026
Lair of the Leviathan,PC,RPG,2026
A Vampyre Story: A Bat's Tale,PC,Adventure,2026
City of Atlantis,PC,Strategy,2026
Ibru,PC,RPG,2026
Haruka: Beyond the Stars,"PC, PlayStation, Nintendo",RPG,2026
Never Alone 2,PC,Adventure,2026
Kleks Academy,PC,Arcade,2026
The War of the Worlds: Siberia,PC,Action,2026
Deficit,PC,Action,2026
Project Pantheon,PC,RPG,2026
Squadron 42,PC,Action,2026
State of Decay 3,"PC, Xbox",Action,2026
Fable,"PC, Xbox",RPG,2026
Prince of Persia: The Sands of Time Remake,"PC, PlayStation, Xbox",Action,2026
The Witcher 4,"PC, PlayStation, Xbox",RPG,2026
Replaced,"PC, Xbox",Action,2026
Cyber Slash,PC,Action,2026
Holstin,PC,Adventure,2026
Decapolice,"PC, PlayStation, Nintendo",RPG,2026
Beautiful Light,PC,Action,December 2026
Dread Pilots,PC,RPG,2026
Play of Battle,PC,Strategy,2026
Total Tank Simulator II,PC,Strategy,2026
Bendy: The Cage,PC,Action,2026
Exodus,"PC, PlayStation, Xbox",RPG,2026
Pony Island 2: Panda Circus,PC,Puzzle,2026
Lords of the Fallen 2,"PC, PlayStation, Xbox",RPG,2026
Alkahest,PC,RPG,2026
Peasant,PC,RPG,2026
Graft,PC,RPG,2026
Outbound,"PC, Xbox",Adventure,2026
Hawthorn,PC,RPG,2026
Animal Use Protocol,PC,Adventure,2026
Of Ash and Steel,PC,RPG,2026
Light of Motiram,"PC, PlayStation",Action,2026
Covenant,PC,Action,2026
Thick as Thieves,"PC, PlayStation, Xbox",Action,2026
BlackFrost: The Long Dark 2,PC,Adventure,2026
Turok: Origins,"PC, PlayStation, Xbox",Action,2026
Onimusha: Way of the Sword,"PC, PlayStation, Xbox",Action,2026
Screamer,"PC, PlayStation, Xbox",Racing,2026
Forest Reigns,PC,Action,2026
Saros,PlayStation,Action,2026
Cthulhu: The Cosmic Abyss,"PC, PlayStation, Xbox",Adventure,2026
Rootbound,PC,Adventure,2026
Planetbase 2,PC,Strategy,Q1 2027
Platoon Commander,PC,Strategy,2027
Korea: IL-2 Series,PC,Simulation,2027
The God Slayer,PlayStation,RPG,2027
Book of Aliens,PC,Strategy,2027
Arma 4,PC,Action,2027
Hopetown,PC,RPG,Q4 2028
Final Fantasy VII Remake Part 3,PlayStation,RPG,2028
Judas,"PC, PlayStation, Xbox",Action,TBA
Elveon,"PC, PlayStation, Xbox",RPG,TBA
Columbus 4,PC,Adventure,TBA
Pathfinder Online,PC,RPG,TBA
Grim,PC,Action,TBA
Folk Tale,PC,Strategy,TBA
The First Crown,PC,Adventure,TBA
The Adventures of Dash,PC,Arcade,TBA
Theme Park Studio,PC,Simulation,TBA
Tales of Illyria,PC,RPG,TBA
World of Diving,"PC, PlayStation",Simulation,TBA
Colonies Online,PC,RPG,TBA
TUG,PC,Action,TBA
Euro Coach Simulator,PC,Simulation,TBA
Ambrov X,"PC, PlayStation, Xbox",RPG,TBA
Tetrapulse,PC,Action,TBA
World Zombination,PC,Strategy,TBA
City of Titans,PC,RPG,TBA
White Heaven,PC,Adventure,TBA
Dungeon Dashers,PC,RPG,TBA
Survive,PC,Action,TBA
Bully Bullworth Academy: Canis Canem Edit,"PC, PlayStation, Xbox",Action,TBA
Galactic Princess,PC,Strategy,TBA
Black Feather Forest,PC,Adventure,TBA
Dragon,PC,RPG,TBA
Norse Noir: Loki's Exile,PC,Adventure,TBA
Seven Dragon Saga,PC,RPG,TBA
Starr Mazer,PC,Adventure,TBA
Hex Heroes,"PC, Nintendo",Strategy,TBA
Do Not Cross,PC,Adventure,TBA
BIOS,PC,Action,TBA
Ironkraft: Road to Hell,PC,Action,TBA
Red Ash,"PC, PlayStation, Xbox",Adventure,TBA
Electroshift,PC,Action,TBA
At the Mountains of Madness,PC,Action,TBA
Steamfarer,PC,RPG,TBA
Epsilon,PC,Action,TBA
City Shrouded in Shadow,PlayStation,Action,TBA
H. P. Lovecraft's The Case of Charles Dexter Ward,PC,Adventure,TBA
Netrunner,Mobile,RPG,TBA
One Life,PC,Action,TBA
World Ship Simulator,PC,Simulation,TBA
Deal with the Devil,"PC, PlayStation, Xbox",Adventure,TBA
Rokh,PC,Action,TBA
Dead Sea,PC,Action,TBA
The Other 99,"PC, PlayStation, Xbox",Action,TBA
Dear Charlotte,"PC, PlayStation, Xbox",Action,TBA
Rising World,PC,Action,TBA
Breaking Point Standalone,PC,Action,TBA
Super Mighty Power Man,"PC, PlayStation, Xbox, Nintendo",Arcade,TBA
Mech Wars,PC,Strategy,TBA
Demon Core,PC,Action,TBA
Reflections,"PC, PlayStation, Xbox",Adventure,TBA
Project 007,"PC, PlayStation, Xbox",Action,TBA
Champions of Titan,PC,RPG,TBA
Project F,PC,RPG,TBA
Novus Aeterno,PC,Strategy,TBA
The Last Crown: Blackenrock,PC,Adventure,TBA
Eden Star,PC,Adventure,TBA
Pool Elite,"PlayStation, Xbox, Nintendo",Sports,TBA
Bang!,"PC, Mobile",Party,TBA
Computer Tycoon,PC,Strategy,TBA
Delver's Drop,PC,RPG,TBA
The Diary of Arthur Gilman,PC,Adventure,TBA
DISTANT,PC,Arcade,TBA
M.O.R.E.,PC,Strategy,TBA
Starfighter Inc.,PC,Simulation,TBA
TauCeti Unknown Origin,"PC, PlayStation, Xbox, Mobile",Action,TBA
Ghost of a Tale 2,"PC, PlayStation, Xbox",RPG,TBA
Flagship,PC,Strategy,TBA
Perfect Dark,"PC, Xbox",Action,TBA
SUPERHOT JP,"PC, PlayStation",Action,TBA
Veterans Online,PC,Action,TBA
Marvel's Wolverine,PlayStation,Action,TBA
Silent Hill: Townfall,PC,Adventure,TBA
Forsaken Fortress,PC,RPG,TBA
Fleish & Cherry in Crazy Hotel,PC,Adventure,TBA
The Endless Cylinder,PC,Adventure,TBA
Onward,PC,Action,TBA
Star Child,PlayStation,Action,TBA
Ridge Racer 8,Nintendo,Racing,TBA
Rite of Ilk,PC,Adventure,TBA
Scoundrel,PC,Arcade,TBA
Project: Mara,"PC, Xbox",Adventure,TBA
My Winter Car,PC,Simulation,TBA
Blade Runner 2033: Labyrinth,PC,Adventure,TBA
Contraband,"PC, Xbox",Action,TBA
Altheia: The Wrath of Aferi,"PC, PlayStation, Xbox, Nintendo",Action,TBA
American Truck Simulator: Missouri,PC,Simulation,TBA
Star Wars: Knights of the Old Republic Remake,"PC, PlayStation, Xbox",RPG,TBA
Control 2,"PC, PlayStation, Xbox",Action,TBA
Assassin's Creed: Jade,Mobile,Action,TBA
Hollow Knight: Silksong,"PC, PlayStation, Xbox, Nintendo",Action,TBA
Horizon 3,PlayStation,Action,TBA
American Truck Simulator: Iowa,PC,Simulation,TBA
Soulframe,PC,RPG,TBA
Clockwork Revolution,"PC, Xbox",RPG,TBA
Little Devil Inside,"PC, PlayStation",Action,TBA
SiN: Reloaded,PC,Action,TBA
DokeV,PC,Action,TBA
Human: Fall Flat 2,PC,Puzzle,TBA
Grim Dawn: Fangs of Asterkarn,PC,RPG,TBA
American Truck Simulator: Louisiana,PC,Simulation,TBA
Sui Generis,PC,RPG,TBA
Resident Evil 9,"PC, PlayStation, Xbox",Action,TBA
Reanimal,"PC, PlayStation, Xbox",Adventure,TBA
BioShock 4,PC,Action,TBA
Euro Truck Simulator 2: Nordic Horizons,PC,Simulation,TBA
American Truck Simulator: Illinois,PC,Simulation,TBA
Star Wars RTS,PC,Strategy,TBA
Fallout 5,PC,RPG,TBA
Star Wars: Eclipse,PC,Adventure,TBA
Project Orion,PC,RPG,TBA
Timespinner 2: Unwoven Dream,PC,Action,TBA
N1RV Ann-A: Cyberpunk Bartender Action,"PC, PlayStation, Nintendo",Adventure,TBA
Everwild,"PC, Xbox",Action,TBA
Path of Exile Mobile,Mobile,RPG,TBA
Kenshi 2,PC,RPG,TBA
Beyond Good & Evil 2,"PC, PlayStation, Xbox",Action,TBA
The Elder Scrolls VI,"PC, PlayStation, Xbox",RPG,TBA
Wolfenstein III,"PC, PlayStation, Xbox, Nintendo",Action,TBA
Silent Hill f,"PC, PlayStation, Xbox",Adventure,TBA
The Sims: Project Rene,"PC, PlayStation, Xbox",Simulation,TBA
Haunted Chocolatier,PC,RPG,TBA
System Shock 3,PC,Action,TBA
Just King,PC,Action,TBA
The Witcher Remake,PC,RPG,TBA
Need for Speed 26,"PC, PlayStation, Xbox",Racing,TBA
Routine,"PC, Xbox",Adventure,TBA
Project Awakening,PlayStation,RPG,TBA
The Lord of the Rings MMO,PC,RPG,TBA
PLAN 8,PC,Action,TBA
Marvel's Blade,"PC, Xbox",Action,TBA
Light No Fire,PC,Action,TBA
Combustion,PC,RPG,TBA
Star Wars Jedi 3,"PC, PlayStation, Xbox",Action,TBA
Ananta,"PC, PlayStation, Mobile",RPG,TBA
Kingdom Hearts 4,"PlayStation, Xbox",RPG,TBA
Gears of War: E-Day,"PC, Xbox",Action,TBA
Tom Clancy's The Division 3,"PC, PlayStation, Xbox",Action,TBA
OD: A Hideo Kojima Game,"PC, Xbox",Adventure,TBA
Pragmata,"PC, PlayStation, Xbox",Action,TBA
Tom Clancy's Splinter Cell Remake,"PC, PlayStation, Xbox",Action,TBA
Code: To Jin Yong,PC,Action,TBA
Marvel's Black Panther,PC,Action,TBA
Deadrop,PC,Action,TBA
Wyrdsong,PC,RPG,TBA
Everywhere,PC,Action,TBA
Snaccoon,PC,Adventure,TBA
Assassin's Creed: Hexe,"PC, PlayStation, Xbox",Action,TBA
The Store is Closed,"PC, PlayStation, Xbox",Action,TBA
Marvel's Iron Man,PC,Action,TBA
Project Sirius,PC,RPG,TBA
Daemon X Machina: Titanic Scion,PC,Action,TBA
Fairgame$,"PC, PlayStation",Action,TBA
Marathon,"PC, PlayStation, Xbox",Action,TBA
Retrieval,"PC, PlayStation, Xbox",Action,TBA
Diablo V,"PC, PlayStation, Xbox",RPG,TBA
World of Warcraft: Midnight,PC,RPG,TBA
Physint,PlayStation,Action,TBA
Far Cry 7,"PC, PlayStation, Xbox",Action,TBA
Thorgal,"PC, PlayStation, Xbox",Action,TBA
Project Caesar,PC,Strategy,TBA
The Blood of Dawnwalker,"PC, PlayStation, Xbox",RPG,TBA
"Warhammer 40,000: Mechanicus II","PC, PlayStation, Xbox",Strategy,TBA
Deliver Us Home,PC,Adventure,TBA
Darksiders 4,PC,Action,TBA
Masters of Albion,PC,Strategy,TBA
Deadlock,PC,Action,TBA
Alien: Isolation 2,PC,Action,TBA
Hello Neighbor 3,PC,Action,TBA
s&box,PC,Simulation,TBA
New Blood RPG,PC,RPG,TBA
Virtua Fighter 6,PC,Fighting,TBA
Project Century,PC,Action,TBA
Okami Sequel,PC,Adventure,TBA
Intergalactic: The Heretic Prophet,PlayStation,Action,TBA
Project Robot,"PC, PlayStation",Adventure,TBA
Underrail 2: Infusion,PC,RPG,TBA
The Elder Scrolls: Skywind,PC,RPG,TBA
Track Day,PC,Racing,TBA
Tides of Annihilation,"PC, PlayStation, Xbox",Action,TBA
Sonic Racing: CrossWorlds,"PC, PlayStation, Xbox, Nintendo",Racing,TBA
Knight's Path,PC,RPG,TBA
Cralon,PC,RPG,TBA
Heralds of the Third Apocalypse,PC,RPG,TBA
La Quimera,PC,Action,TBA
Project C4,PC,RPG,TBA
Postal 2 VR,"PC, PlayStation",Action,TBA
Hello Sunshine,PC,RPG,TBA
"Warhammer 40,000: Space Marine 3",PC,Action,TBA
Phase Zero,PC,Action,TBA
Romestead,PC,Action,TBA
City Tales: Medieval Era,PC,Strategy,TBA
World of Warcraft: The Last Titan,PC,RPG,TBA
Outward 2,PC,RPG,TBA
Green Hell 2,PC,Simulation,TBA
Project Borealis,PC,Action,TBA
Hogwarts Legacy 2,PC,RPG,TBA
XXX Nightshift,PC,RPG,TBA
The Night Wanderer,"PC, PlayStation, Xbox",RPG,TBA
Hellgate: Redemption,PC,RPG,TBA
Euro Truck Simulator 2: Heart of Russia,PC,Simulation,TBA
Tomb Raider 12,PC,Action,TBA
Max Payne Remake,"PC, PlayStation, Xbox",Action,TBA
Shashingo,"PC, Nintendo",Simulation,TBA
Half-Life 3,PC,Action,TBA
Lies of P 2,PC,RPG,TBA
Project Hadar,PC,RPG,TBA
Star Citizen,PC,Simulation,TBA
Mass Effect 5,"PC, PlayStation, Xbox",RPG,TBA
