vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags,platforms,genre
731128,Atelier Yumia The Alchemist of Memories  the Envisioned Land,2025-03-21,3123410,atelier-yumia-the-alchemist-of-memories-the-envisioned-land,69.99,16650,555,18782,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox, Nintendo",RPG
743106,Assassins Creed Shadows,2025-03-20,3159330,assassin’s-creed-shadows,69.99,175000,5849,47247,82.493,"Action, Adventure, RPG",Ubisoft,Ubisoft,AAA,9800000,"['Singleplayer', 'RPG', 'Ninja', 'Assassin', 'Action-Adventure', 'Action RPG', 'Historical', 'Third-Person', 'Cinematic', 'Parkour', 'Swordplay', 'Nonlinear', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Multiple Endings']","PC, PlayStation, Xbox",RPG
690290,BLEACH Rebirth of Souls,2025-03-20,1689620,bleach-rebirth-of-souls,59.99,80220,2674,28582,42.259,Action,TAMSOFT CORPORATION,Bandai Namco,AAA,3800000,"['Action', 'Singleplayer', 'Multiplayer', 'Drama', 'Fighting', 'Dark Fantasy', 'PvE', 'Comic Book', 'Swordplay', '3D Fighter', 'Combat', '3D', 'Story Rich', 'Anime', 'Great Soundtrack', 'PvP']","PC, PlayStation, Xbox",Fighting
717914,Wreckfest 2,2025-03-20,1203190,wreckfest-2,29.99,30420,1014,20641,74.458,Racing,Bugbear,THQ Nordic,AA,584000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Automobile Sim', 'Racing', 'Driving', 'First-Person', 'Third-Person', 'Destruction', 'Combat Racing', 'Vehicular Combat', '3D', 'Physics', 'PvP', 'Realistic']","PC, PlayStation, Xbox",Racing
746851,WWE 2K25,2025-03-13,2878960,wwe-2k25,59.99,36360,1212,6065,63.119,"Simulation, Sports",Visual Concepts,2K,AAA,1700000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Sports', 'Controller', 'Co-op', 'Fighting', 'Online Co-Op', 'Character Customization', 'Local Multiplayer', 'Local Co-Op', '3D Fighter', 'Wrestling', '3D', 'Sandbox', 'PvP', 'Realistic']","PC, PlayStation, Xbox",Sports
748865,Rise of the Ronin,2025-03-11,1340990,rise-of-the-ronin--1,49.99,123000,4085,25393,51.75,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,4900000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Gore', 'Action RPG', 'Souls-like', 'Co-op', 'Online Co-Op', 'Character Customization', 'Historical', 'Third-Person', 'Asynchronous Multiplayer', 'Swordplay', '3D', 'Open World', 'Violent', 'Multiple Endings']","PC, PlayStation",RPG
745663,Split Fiction,2025-03-06,2001120,split-fiction,49.99,2700000,49902,124000,98.01,"Action, Adventure",Hazelight Studios,Electronic Arts,AAA,109600000,"['Action', 'Adventure', 'Multiplayer', 'Action-Adventure', 'Co-op', 'Split Screen', 'Online Co-Op', 'Local Co-Op', 'Co-op Campaign', 'Female Protagonist', 'Fantasy', 'Sci-fi']","PC, PlayStation, Xbox",Action
621268,Carmen Sandiego,2025-03-04,2475300,carmen-sandiego,29.99,1020,34,2504,76.471,"Adventure, Strategy",Gameloft,Gameloft,AA,24474,"['Strategy', 'Adventure', 'Singleplayer', 'Education', 'Hacking', 'Time Management', 'Hidden Object', 'Investigation', 'Detective', '3D', 'Puzzle', 'Stealth', 'Exploration', 'Colorful']","PC, PlayStation, Xbox, Mobile, Nintendo",Adventure
723445,Monster Hunter Wilds,2025-02-28,2246340,monster-hunter-wilds,69.99,6100000,176000,457000,59.188,"Action, Adventure, RPG",Capcom,Capcom,AAA,343500000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Underwater', 'Multiplayer', 'Action RPG', 'Souls-like', 'Co-op', 'Dragons', 'Online Co-Op', 'Character Customization', 'Third-Person', 'Dating Sim', 'Hunting', 'Fantasy', 'Open World', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox",RPG
747556,PGA TOUR 2K25,2025-02-28,2385530,pga-tour-2k25,69.99,41880,1396,3166,63.897,"Simulation, RPG, Sports",HB Studios,2K,AAA,2300000,"['Simulation', 'Singleplayer', 'RPG', 'Multiplayer', 'Sports', 'Gore', 'Co-op', 'Online Co-Op', 'Character Customization', 'Third-Person', 'Golf', 'Family Friendly', 'PvP', 'Realistic']","PC, PlayStation, Xbox",Sports
745661,YuGiOh EARLY DAYS COLLECTION,2025-02-27,3013550,yu-gi-oh!-early-days-collection,49.99,6540,218,5627,72.477,"Simulation, Strategy, RPG",Digital Eclipse,KONAMI,AA,262000,"['Strategy', 'Simulation', 'Singleplayer', 'RPG', 'Multiplayer', 'Trading Card Game', 'Deckbuilding', 'Card Battler', 'Card Game', 'Retro', 'Anime', 'Violent', 'PvP']","PC, Nintendo",Puzzle
735173,Like a Dragon Pirate Yakuza in Hawaii,2025-02-20,3061810,like-a-dragon-pirate-yakuza-in-hawaii,59.99,167000,5569,30816,91.65,"Action, Adventure, RPG",Ryu Ga Gotoku Studio,SEGA,AAA,8000000,"['Action', 'Adventure', 'RPG', 'Action-Adventure', 'Drama', 'Action RPG', 'Pirates', 'Naval Combat', 'Naval', 'Sailing', 'Character Customization', 'Hack and Slash', 'Third-Person', 'Cinematic', 'Swordplay', '3D', 'Exploration', 'JRPG', 'Fantasy', 'Funny']","PC, PlayStation, Xbox",Action
621354,Avowed,2025-02-18,2457220,avowed,69.99,250000,8340,104000,77.926,RPG,Obsidian Entertainment,Xbox Game Studios,AAA,14000000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Choices Matter', 'Action RPG', 'First-Person', 'LGBTQ+', 'Character Customization', 'Third-Person', 'Magic', 'Combat', '3D', 'Fantasy', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Colorful', 'Mature']","PC, Xbox",RPG
736747,Tomb Raider IVVI Remastered,2025-02-14,2525380,tomb-raider-iv-vi-remastered,29.99,26130,871,10990,87.141,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,627000,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Stylized', 'Puzzle Platformer', 'Mystery', 'Dark', 'Third-Person Shooter', 'Third-Person', 'Parkour', '3D Platformer', 'Precision Platformer', '3D', 'Platformer', 'Puzzle', 'Exploration', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action
750366,WARRIORS Abyss,2025-02-12,3178350,warriors-abyss,24.99,28020,934,7615,85.867,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,558000,"['Action', 'Singleplayer', 'RPG', 'Action RPG', 'Dark Fantasy', 'Historical', 'Hack and Slash', 'Third-Person', 'Action Roguelike', 'Martial Arts', '3D', 'Top-Down', 'Roguelike', 'Roguelite', 'Musou']","PC, PlayStation, Xbox, Nintendo",Action
688119,Sid Meiers Civilization VII,2025-02-10,1295660,sid-meier's-civilization-vii,69.99,980000,36969,215000,49.855,"Simulation, Strategy",Firaxis Games,2K,AAA,54900000,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Turn-Based Tactics', 'Stylized', 'Hex Grid', 'War', 'Historical', 'Grand Strategy', 'Tactical', 'Turn-Based Strategy', 'Alternate History', 'Political Sim', 'Diplomacy', '4X', 'City Builder', 'PvP', 'Replay Value']","PC, PlayStation, Xbox, Nintendo",Strategy
737214,Marvels SpiderMan 2,2025-01-30,2651280,marvel-s-spider-man-2--1,59.99,476000,15859,60019,73.252,"Action, Adventure","Insomniac Games, Nixxes software",PlayStation Publishing LLC,AAA,22800000,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Controller', 'Action-Adventure', ""Beat 'em up"", 'LGBTQ+', 'Third-Person', 'Political', 'Comic Book', 'Politics', 'Superhero', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Great Soundtrack']","PC, PlayStation",Action
631155,Sniper Elite Resistance,2025-01-30,2169200,sniper-elite-resistance,49.99,82200,2740,20550,69.015,"Action, Adventure",Rebellion,Rebellion,AA,3300000,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Action-Adventure', 'Gore', 'Third-Person Shooter', 'War', 'Third-Person', 'World War II', 'Sniper', 'Stealth', 'Violent']","PC, PlayStation, Xbox",Action
688199,The Stone of Madness,2025-01-28,1309710,the-stone-of-madness,29.99,4320,144,7399,85.417,"Adventure, Strategy, RPG",The Game Kitchen,Tripwire Interactive,AA,96308,"['Strategy', 'Adventure', 'Singleplayer', 'RPG', 'Choices Matter', 'Hand-drawn', 'Medieval', 'Point & Click', 'Historical', 'Tactical', 'Psychological', 'Isometric', 'Strategy RPG', 'Tactical RPG', 'Female Protagonist', 'Puzzle', 'Stealth', 'Story Rich', 'Atmospheric', 'Difficult']","PC, PlayStation, Xbox, Nintendo",Strategy
733564,FINAL FANTASY VII REBIRTH,2025-01-23,2909400,final-fantasy-vii-rebirth,69.99,1100000,16686,58252,77.508,"Action, Adventure, RPG",Square Enix,Square Enix,AAA,47700000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action-Adventure', 'Drama', 'Action RPG', 'Party-Based RPG', 'Third-Person', 'Magic', 'Cinematic', 'Emotional', 'Spectacle fighter', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Realistic']","PC, PlayStation",RPG
748487,NINJA GAIDEN 2 Black,2025-01-23,3287520,ninja-gaiden-2-black,49.99,69030,2301,20180,79.4,"Action, Adventure","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,2700000,"['Action', 'Adventure', 'Singleplayer', 'Ninja', 'Action-Adventure', 'Gore', 'Character Action Game', 'Hack and Slash', 'Third-Person', 'Swordplay', 'Spectacle fighter', 'Martial Arts', 'Combat', 'Difficult', 'Violent', 'Realistic', 'Sexual Content']","PC, PlayStation, Xbox",Action
727514,SYNDUALITY Echo of Ada,2025-01-23,1245480,synduality-echo-of-ada,39.99,69930,2331,26951,37.237,Action,Game Studio Inc.,Bandai Namco,AAA,2200000,"['Action', 'Multiplayer', 'Action-Adventure', 'Mechs', 'Third-Person Shooter', 'Character Customization', 'PvE', 'Dating Sim', 'Tactical', 'Looter Shooter', '3D', 'Female Protagonist', 'Survival', 'Shooter', 'Exploration', 'Sci-fi', 'Anime', 'Cute', 'PvP', 'Extraction Shooter']","PC, PlayStation, Xbox",Action
736658,STAR WARS Episode I Jedi Power Battles,2025-01-23,2443630,star-wars™-episode-i-jedi-power-battles™,19.99,7380,246,3847,77.642,"Action, Adventure, Casual",Aspyr,Aspyr,AA,116000,"['Action', 'Adventure', 'Old School', 'Singleplayer', 'Casual', 'Side Scroller', 'Controller', 'Action-Adventure', ""Beat 'em up"", 'Co-op', 'PvE', 'Hack and Slash', 'Third-Person', 'Combat', '3D', 'Arcade', 'Space', 'Sci-fi', 'Retro', 'Colorful']","PC, PlayStation, Xbox, Nintendo",Action
642862,DYNASTY WARRIORS ORIGINS,2025-01-17,2384580,dynasty-warriors-origins,69.99,686000,18292,74538,93.658,"Action, Strategy, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,38200000,"['Strategy', 'Action', 'Singleplayer', 'RPG', 'Controller', 'Action RPG', 'War', 'Historical', 'Hack and Slash', 'Third-Person', 'Dating Sim', 'Wargame', 'Tactical', 'Swordplay', 'Spectacle fighter', 'Martial Arts', '3D', 'Story Rich', 'Multiple Endings', 'Musou']","PC, PlayStation, Xbox",Action
635395,Assetto Corsa EVO,2025-01-16,3058630,assetto-corsa-evo,39.99,300000,10007,71378,70.92,"Simulation, Early Access, Sports, Racing",Kunos Simulazioni,505 GAMES,AA,8000000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Sports', 'Automobile Sim', 'Racing', 'Controller', 'Driving', 'VR', 'First-Person', 'Artificial Intelligence', 'eSports', '3D Vision', 'TrackIR', 'Physics', 'Open World', 'Atmospheric', 'PvP', 'Realistic', 'Replay Value']",PC,Racing
735341,Tales of Graces f Remastered,2025-01-16,2530980,tales-of-graces-f-remastered,39.99,17130,571,7746,88.967,"Action, RPG","TOSE CO., LTD.",Bandai Namco,AAA,548000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Controller', 'Action RPG', 'Co-op', '4 Player Local', 'Party-Based RPG', 'PvE', 'Local Multiplayer', 'Local Co-Op', 'JRPG', 'Fantasy', 'Story Rich', 'Anime', 'PvP']","PC, PlayStation, Xbox, Nintendo",RPG
734886,FREEDOM WARS Remastered,2025-01-09,3004100,freedom-wars-remastered,39.99,33990,1132,9829,67.314,Action,Dimps Corporation,Bandai Namco,AAA,1100000,"['Action', 'Singleplayer', 'Multiplayer', 'Action RPG', 'Co-op', 'Dark', 'Character Customization', 'PvE', 'War', 'Political', 'Dystopian ', 'Futuristic', '3D', 'JRPG', 'Anime', 'PvP']","PC, PlayStation, Nintendo",RPG
665383,FAIRY TAIL 2,2024-12-12,3002850,fairy-tail-2,59.99,5580,186,4570,65.591,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,268000,"['Action', 'Singleplayer', 'RPG', 'Demons', 'Action RPG', 'Party-Based RPG', 'War', 'Hack and Slash', 'Magic', 'Tactical', 'Emotional', 'Comic Book', 'Spectacle fighter', 'Tactical RPG', 'Foreign', '3D', 'JRPG', 'Fantasy', 'Anime', 'Cute']","PC, PlayStation, Nintendo",RPG
735418,Legacy of Kain Soul Reaver 12 Remastered,2024-12-10,2521380,legacy-of-kain™-soul-reaver-12-remastered,29.99,74970,2499,22092,90.676,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,1800000,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Puzzle Platformer', 'Demons', 'Dark', 'Dark Fantasy', 'Hack and Slash', 'Third-Person', 'Magic', '3D Platformer', 'Combat', '3D', 'Platformer', 'Puzzle', 'Fantasy', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action
744218,Indiana Jones and the Great Circle,2024-12-09,2677660,indiana-jones-and-the-great-circle,69.99,385000,12822,90691,90.906,"Action, Adventure",Machine Games,Bethesda Softworks,AAA,21400000,"['Action', 'Adventure', 'Singleplayer', 'Action-Adventure', 'Immersive Sim', 'First-Person', 'Historical', 'Investigation', 'World War II', 'Political', '3D Platformer', 'Politics', '3D', 'Platformer', 'Puzzle', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Realistic']","PC, PlayStation, Xbox",Action
707801,Path of Exile 2,2024-12-06,2694490,path-of-exile-2,29.99,5000000,138000,329000,80.145,"Action, Adventure, Early Access, RPG, MMO",Grinding Gear Games,Grinding Gear Games,AA,119400000,"['Action', 'Adventure', 'Inventory Management', 'Free to Play', 'Early Access', 'RPG', 'Multiplayer', 'Action RPG', 'Souls-like', 'Dungeon Crawler', 'Dark', 'MMORPG', 'Online Co-Op', 'Loot', 'Dark Fantasy', 'Character Customization', 'Hack and Slash', 'Crafting', 'Isometric', 'Horror']","PC, PlayStation, Xbox",RPG
733969,Star Wars Outlaws,2024-11-21,2842040,star-wars-outlaws,69.99,108000,3598,31742,73.541,"Action, Adventure",Ubisoft,Ubisoft,AAA,4500000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Choices Matter', 'Action-Adventure', 'Third-Person Shooter', 'Third-Person', 'Minigames', 'Parkour', 'Soundtrack', 'Heist', 'Female Protagonist', 'Shooter', 'Exploration', 'Open World', 'Story Rich', 'Space', 'Sci-fi', 'Atmospheric']","PC, PlayStation, Xbox",Action
735565,Microsoft Flight Simulator 2024,2024-11-19,2537590,microsoft-flight-simulator-2024,69.99,369000,12304,35360,45.53,Simulation,Asobo Studio,Xbox Game Studios,AAA,20700000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Nature', 'Immersive Sim', 'VR', 'Psychological Horror', 'Flight', 'Character Customization', 'Nonlinear', 'Exploration', 'Physics', 'Relaxing', 'Open World', 'Sandbox', 'Atmospheric', 'Family Friendly', 'Colorful', 'Realistic', 'Hobby Sim']","PC, Xbox",Simulation
694145,DRAGON QUEST III HD2D Remake,2024-11-14,2701660,dragon-quest-iii-hd-2d-remake,59.99,106000,3547,28081,74.457,RPG,"Artdink, Square Enix",Square Enix,AAA,5100000,"['Old School', 'Singleplayer', 'RPG', '2.5D', '1980s', 'Turn-Based Combat', 'Party-Based RPG', 'Remake', 'Emotional', 'Lore-Rich', 'Combat', 'Nostalgia', 'Pixel Graphics', 'Turn-Based', 'JRPG', 'Fantasy', 'Story Rich', 'Atmospheric', 'Cute', 'Colorful']","PC, PlayStation, Xbox, Nintendo",RPG
692799,LEGO Horizon Adventures,2024-11-14,2428810,lego-horizon-adventures,59.99,12000,400,8273,60.25,"Action, Adventure","Guerrilla Games, Studio Gobo",PlayStation Publishing LLC,AAA,554000,"['Action', 'Adventure', 'Singleplayer', 'Robots', 'Action-Adventure', 'Co-op', 'Online Co-Op', 'Character Customization', 'Crafting', 'Third-Person', '3D Platformer', 'Local Co-Op', 'Co-op Campaign', 'Precision Platformer', 'Combat', 'LEGO', '3D', 'Female Protagonist', 'Comedy', 'Funny']","PC, PlayStation, Nintendo",Action
720977,Goat Simulator Remastered,2024-11-07,1762930,goat-simulator-remastered,29.99,14460,482,4539,82.988,"Adventure, Simulation, Casual","Coffee Stain North, Coffee Stain Studios, Deep Silver Fishlabs",Coffee Stain Publishing,AA,338000,"['Adventure', 'Simulation', 'Singleplayer', 'Casual', 'Action-Adventure', 'Character Customization', '3D', 'Cartoony', 'Exploration', 'Physics', 'Open World', 'Comedy', 'Sandbox', 'Funny', 'Family Friendly', 'Colorful']","PC, PlayStation, Xbox",Arcade
620224,Planet Coaster 2,2024-11-06,2688950,planet-coaster-2,49.99,249000,8316,42989,62.278,"Simulation, Strategy",Frontier Developments,Frontier Developments,AA,9700000,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Online Co-Op', 'Asynchronous Multiplayer', 'God Game', '3D', 'Building', 'City Builder', 'Management', 'Relaxing', 'Sandbox', 'Funny', 'Atmospheric', 'Family Friendly', 'Colorful', 'Realistic']","PC, PlayStation, Xbox",Strategy
738094,DEATH NOTE Killer Within,2024-11-05,2213190,death-note-killer-within,9.99,57690,1923,10309,88.82,"Strategy, Casual",Grounding Inc.,Bandai Namco,AAA,449000,"['Strategy', 'Casual', 'Multiplayer', 'Immersive Sim', 'Dark', 'Character Customization', 'Tactical', 'Psychological', 'Noir', 'Word Game', 'Social Deduction', 'Top-Down', 'Survival', 'Anime', 'PvP']","PC, PlayStation",Party
708671,Farmagia,2024-11-01,2508770,farmagia,49.99,2100,70,3401,67.143,"Action, RPG",Marvelous Inc.,"Marvelous Europe, Marvelous USA, Inc., XSEED Games","AA, Indie",82069,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Stylized', 'Action RPG', 'PvE', 'Magic', 'Strategy RPG', 'Lore-Rich', 'Combat', 'Farming Sim', 'Creature Collector', 'Cartoony', 'JRPG', 'Resource Management', 'Fantasy', 'Story Rich', 'Anime', 'Colorful']","PC, PlayStation, Nintendo",RPG
721401,Dragon Age The Veilguard,2024-10-31,1845910,dragon-age-the-veilguard,59.99,1200000,38748,97878,69.792,"Action, Adventure, Strategy, RPG",BioWare,Electronic Arts,AAA,53500000,"['Strategy', 'Action', 'Adventure', 'Singleplayer', 'RPG', 'Choices Matter', 'Turn-Based Tactics', 'Action RPG', 'CRPG', 'Dragons', 'LGBTQ+', 'Character Customization', 'Third-Person', 'Magic', 'Lore-Rich', 'Politics', 'Romance', 'Fantasy', 'Story Rich', 'Multiple Endings']","PC, PlayStation, Xbox",RPG
736207,Horizon Zero Dawn Remastered,2024-10-31,2561580,horizon-zero-dawn-remastered,49.99,88860,2962,10572,79.541,"Action, Adventure, RPG","Guerrilla Games, Nixxes software",PlayStation Publishing LLC,AAA,3500000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Nature', 'Action-Adventure', 'Mechs', 'LGBTQ+', 'Artificial Intelligence', 'Crafting', 'Third-Person', 'Futuristic', 'Post-apocalyptic', 'Emotional', 'Combat', 'Female Protagonist', 'Stealth', 'Open World', 'Story Rich', 'Sci-fi']","PC, PlayStation",Action
721565,Life is Strange Double Exposure,2024-10-29,1874000,life-is-strange-double-exposure,49.99,214000,7145,29920,68.845,"Action, Adventure",Deck Nine Games,Square Enix,AAA,8300000,"['Action', 'Adventure', 'Singleplayer', 'Choose Your Own Adventure', 'Choices Matter', 'Drama', 'Stylized', 'Mystery', 'LGBTQ+', 'Third-Person', 'Cinematic', 'Emotional', 'Supernatural', 'Romance', 'Narrative', 'Female Protagonist', 'Story Rich', 'Atmospheric', 'Great Soundtrack', 'Multiple Endings']","PC, PlayStation, Xbox, Nintendo",Adventure
677007,REDACTED,2024-10-28,2229940,redacted,24.99,8280,275,3580,86.545,Action,Striking Distance Studios,"KRAFTON, Inc.",AA,157000,"['Action', 'Top-Down Shooter', 'Controller', 'Action-Adventure', 'Dark Humor', 'Stylized', 'Dungeon Crawler', 'Hack and Slash', 'Action Roguelike', 'Comic Book', 'Dark Comedy', 'Isometric', '3D', 'Survival', 'Roguelike', 'Shooter', 'Roguelite', 'Comedy', 'Sci-fi', 'Difficult']","PC, PlayStation, Xbox",Action
643511,SONIC X SHADOW GENERATIONS,2024-10-25,2513280,sonic-x-shadow-generations,49.99,359000,11964,29457,97.484,Action,Sonic Team,SEGA,AAA,13600000,"['Action', 'Adventure', 'Singleplayer', 'Score Attack', 'Psychological Horror', '2D Platformer', '3D Platformer', 'Soundtrack', 'Romance', 'Quick-Time Events', '2D', '3D', 'Cartoony', 'Platformer', 'Linear', 'Great Soundtrack', 'Family Friendly', 'Colorful', 'Fast-Paced', 'Replay Value']","PC, PlayStation, Xbox, Nintendo",Arcade
692948,Romancing SaGa 2 Revenge of the Seven,2024-10-24,2455640,romancing-saga-2-revenge-of-the-seven,49.99,106000,3538,21712,94.658,RPG,"Square Enix, xeen Inc.",Square Enix,AAA,4100000,"['Singleplayer', 'RPG', 'Choices Matter', 'Controller', 'Medieval', 'Party-Based RPG', 'Third-Person', 'Remake', 'Emotional', 'Tactical RPG', 'Lore-Rich', ""1990's"", 'Romance', 'Class-Based', '3D', 'Turn-Based', 'JRPG', 'Fantasy', 'Story Rich', 'Anime']","PC, PlayStation, Nintendo",RPG
